date,adjusted close,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv
01/18/2023,391.49,01/18/2023,320,C,A,72.02,70.82,71.42,-1,3,3,391.45
01/18/2023,391.49,01/18/2023,320,P,A,0.01,0,0,-1,2,239,391.45
01/18/2023,391.49,01/18/2023,323,C,A,69.02,67.82,68.42,-1,1,0,391.45
01/18/2023,391.49,01/18/2023,323,P,A,0.01,0,0,-1,0,240,391.45
01/18/2023,391.49,01/18/2023,324,C,A,68.02,66.82,67.42,-1,1,0,391.45
01/18/2023,391.49,01/18/2023,324,P,A,0.01,0,0,-1,0,439,391.45
01/18/2023,391.49,01/18/2023,325,C,A,67.02,65.82,66.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,325,P,A,0.01,0,0,-1,0,40,391.45
01/18/2023,391.49,01/18/2023,326,C,A,66.02,64.82,65.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,326,P,A,0.01,0,0,-1,1,0,391.45
01/18/2023,391.49,01/18/2023,327,C,A,65.02,63.82,64.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,327,P,A,0.01,0,0,-1,0,70,391.45
01/18/2023,391.49,01/18/2023,328,C,A,64.02,62.82,63.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,328,P,A,0.01,0,0,-1,0,11,391.45
01/18/2023,391.49,01/18/2023,329,C,A,63.02,61.82,62.42,-1,8,0,391.45
01/18/2023,391.49,01/18/2023,329,P,A,0.01,0,0,-1,0,40,391.45
01/18/2023,391.49,01/18/2023,330,C,A,62.02,60.82,61.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,330,P,A,0.01,0,0,-1,0,324,391.45
01/18/2023,391.49,01/18/2023,331,C,A,61.02,59.82,60.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,331,P,A,0.01,0,0,-1,0,363,391.45
01/18/2023,391.49,01/18/2023,332,C,A,60.02,58.82,59.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,332,P,A,0.01,0,0,-1,0,491,391.45
01/18/2023,391.49,01/18/2023,333,C,A,59.02,57.82,58.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,333,P,A,0.01,0,0,-1,0,19,391.45
01/18/2023,391.49,01/18/2023,334,C,A,58.02,56.82,57.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,334,P,A,0.01,0,0,-1,0,305,391.45
01/18/2023,391.49,01/18/2023,335,C,A,57.02,55.82,56.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,335,P,A,0.01,0,0,-1,0,321,391.45
01/18/2023,391.49,01/18/2023,336,C,A,56.02,54.82,55.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,336,P,A,0.01,0,0,-1,0,945,391.45
01/18/2023,391.49,01/18/2023,337,C,A,55.02,53.82,54.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,337,P,A,0.01,0,0,-1,0,3,391.45
01/18/2023,391.49,01/18/2023,338,C,A,54.02,52.82,53.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,338,P,A,0.01,0,0,-1,0,107,391.45
01/18/2023,391.49,01/18/2023,339,C,A,53.02,51.82,52.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,339,P,A,0.01,0,0,-1,0,81,391.45
01/18/2023,391.49,01/18/2023,340,C,A,52.02,50.82,51.42,-1,0,1,391.45
01/18/2023,391.49,01/18/2023,340,P,A,0.01,0,0,-1,0,458,391.45
01/18/2023,391.49,01/18/2023,341,C,A,51.02,49.82,50.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,341,P,A,0.01,0,0,-1,0,342,391.45
01/18/2023,391.49,01/18/2023,342,C,A,50.02,48.82,49.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,342,P,A,0.01,0,0,-1,67,118,391.45
01/18/2023,391.49,01/18/2023,343,C,A,49.02,47.82,48.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,343,P,A,0.01,0,0,-1,0,34,391.45
01/18/2023,391.49,01/18/2023,344,C,A,48.02,46.8,47.41,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,344,P,A,0.01,0,0,-1,0,614,391.45
01/18/2023,391.49,01/18/2023,345,C,A,47.02,45.83,46.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,345,P,A,0.01,0,0,-1,1,237,391.45
01/18/2023,391.49,01/18/2023,346,C,A,46.02,44.82,45.42,-1,1,1,391.45
01/18/2023,391.49,01/18/2023,346,P,A,0.01,0,0,-1,0,244,391.45
01/18/2023,391.49,01/18/2023,347,C,A,45.02,43.82,44.42,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,347,P,A,0.01,0,0,-1,0,32,391.45
01/18/2023,391.49,01/18/2023,348,C,A,44.02,42.83,43.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,348,P,A,0.01,0,0,-1,0,373,391.45
01/18/2023,391.49,01/18/2023,349,C,A,43.02,41.83,42.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,349,P,A,0.01,0,0,-1,0,9,391.45
01/18/2023,391.49,01/18/2023,350,C,A,42.02,40.83,41.425,-1,8,2,391.45
01/18/2023,391.49,01/18/2023,350,P,A,0.01,0,0,-1,1,1004,391.45
01/18/2023,391.49,01/18/2023,351,C,A,41.02,39.83,40.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,351,P,A,0.01,0,0,-1,0,22,391.45
01/18/2023,391.49,01/18/2023,352,C,A,40.02,38.83,39.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,352,P,A,0.01,0,0,-1,0,705,391.45
01/18/2023,391.49,01/18/2023,353,C,A,39.02,37.83,38.425,-1,0,8,391.45
01/18/2023,391.49,01/18/2023,353,P,A,0.01,0,0,-1,0,590,391.45
01/18/2023,391.49,01/18/2023,354,C,A,38.02,36.83,37.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,354,P,A,0.01,0,0,-1,0,20,391.45
01/18/2023,391.49,01/18/2023,355,C,A,37.02,35.83,36.425,-1,1,3,391.45
01/18/2023,391.49,01/18/2023,355,P,A,0.01,0,0,-1,0,423,391.45
01/18/2023,391.49,01/18/2023,356,C,A,36.02,34.83,35.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,356,P,A,0.01,0,0,-1,0,450,391.45
01/18/2023,391.49,01/18/2023,357,C,A,35.02,33.83,34.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,357,P,A,0.01,0,0,-1,0,414,391.45
01/18/2023,391.49,01/18/2023,358,C,A,34.02,32.83,33.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,358,P,A,0.01,0,0,-1,0,85,391.45
01/18/2023,391.49,01/18/2023,359,C,A,33.02,31.83,32.425,-1,0,0,391.45
